shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|2|1|2|0.29680514335632324
(500, 784)|(784, 256)|2|1|3|0.19895124435424805
(500, 784)|(784, 256)|2|1|4|0.28473806381225586
(500, 784)|(784, 256)|2|1|5|0.35558581352233887
(500, 784)|(784, 256)|2|1|6|0.30513691902160645
(500, 784)|(784, 256)|2|1|7|0.24213409423828125
(500, 784)|(784, 256)|2|1|8|0.289121150970459
(500, 784)|(784, 256)|2|1|9|0.2378239631652832
(500, 784)|(784, 256)|2|1|10|0.3781249523162842
(500, 784)|(784, 256)|2|1|11|0.29395008087158203
(500, 784)|(784, 256)|2|1|12|0.28467297554016113
(500, 784)|(784, 256)|2|1|13|0.29731297492980957
(500, 784)|(784, 256)|2|1|14|0.3977360725402832
(500, 784)|(784, 256)|2|1|15|0.2407228946685791
(500, 784)|(784, 256)|2|1|16|0.4215579032897949
(500, 784)|(784, 256)|2|1|17|0.3183927536010742
(500, 784)|(784, 256)|2|1|18|0.28545308113098145
(500, 784)|(784, 256)|2|1|19|0.2739248275756836
(500, 784)|(784, 256)|2|1|20|0.2872347831726074
(500, 784)|(784, 256)|2|1|21|0.2740209102630615
(500, 784)|(784, 256)|2|1|22|0.2698860168457031
(500, 784)|(784, 256)|2|1|23|0.2773427963256836
(500, 784)|(784, 256)|2|1|24|0.20985770225524902
(500, 784)|(784, 256)|2|1|25|0.27216315269470215
(500, 784)|(784, 256)|2|1|26|0.2880890369415283
(500, 784)|(784, 256)|2|1|27|0.21350598335266113
(500, 784)|(784, 256)|2|1|28|0.26999402046203613
(500, 784)|(784, 256)|2|1|29|0.28989601135253906
(500, 784)|(784, 256)|2|1|30|0.30611467361450195
(500, 784)|(784, 256)|2|1|31|0.2845890522003174
(500, 784)|(784, 256)|2|1|32|0.2751929759979248
(500, 784)|(784, 256)|3|1|2|0.2724637985229492
(500, 784)|(784, 256)|3|1|3|0.3294401168823242
(500, 784)|(784, 256)|3|1|4|0.32543206214904785
(500, 784)|(784, 256)|3|1|5|0.2794177532196045
