shapeA|shapeB|x_f|y_f|k_f|time_taken
(2000, 784)|(784, 256)|2|1|2|0.29015183448791504
(2000, 784)|(784, 256)|2|1|3|0.2572207450866699
(2000, 784)|(784, 256)|2|1|4|0.19143009185791016
(2000, 784)|(784, 256)|2|1|5|0.24129271507263184
(2000, 784)|(784, 256)|2|1|6|0.29657483100891113
(2000, 784)|(784, 256)|2|1|7|0.2927510738372803
(2000, 784)|(784, 256)|2|1|8|0.26232481002807617
(2000, 784)|(784, 256)|2|1|9|0.2463061809539795
(2000, 784)|(784, 256)|2|1|10|0.20982122421264648
(2000, 784)|(784, 256)|2|1|11|0.2717258930206299
(2000, 784)|(784, 256)|2|1|12|0.27642011642456055
(2000, 784)|(784, 256)|2|1|13|0.24176478385925293
(2000, 784)|(784, 256)|2|1|14|0.3136770725250244
(2000, 784)|(784, 256)|2|1|15|0.19025468826293945
(2000, 784)|(784, 256)|2|1|16|0.2668120861053467
(2000, 784)|(784, 256)|3|1|2|0.2229149341583252
(2000, 784)|(784, 256)|3|1|3|0.15468907356262207
(2000, 784)|(784, 256)|3|1|4|0.297900915145874
(2000, 784)|(784, 256)|3|1|5|0.1876540184020996
(2000, 784)|(784, 256)|3|1|6|0.19507503509521484
(2000, 784)|(784, 256)|3|1|7|0.21182990074157715
(2000, 784)|(784, 256)|3|1|8|0.21322917938232422
(2000, 784)|(784, 256)|3|1|9|0.2016298770904541
(2000, 784)|(784, 256)|3|1|10|0.2606019973754883
(2000, 784)|(784, 256)|3|1|11|0.2566349506378174
(2000, 784)|(784, 256)|3|1|12|0.23749089241027832
(2000, 784)|(784, 256)|3|1|13|0.16202592849731445
(2000, 784)|(784, 256)|3|1|14|0.20499610900878906
(2000, 784)|(784, 256)|3|1|15|0.2580699920654297
(2000, 784)|(784, 256)|3|1|16|0.14846301078796387
(2000, 784)|(784, 256)|3|2|3|0.2209930419921875
(2000, 784)|(784, 256)|3|2|4|0.1953427791595459
(2000, 784)|(784, 256)|3|2|5|0.20331501960754395
(2000, 784)|(784, 256)|3|2|6|0.20540714263916016
(2000, 784)|(784, 256)|3|2|7|0.21753478050231934
(2000, 784)|(784, 256)|3|2|8|0.19561195373535156
(2000, 784)|(784, 256)|3|2|9|0.22605395317077637
(2000, 784)|(784, 256)|3|2|10|0.2988307476043701
(2000, 784)|(784, 256)|3|2|11|0.14809608459472656
(2000, 784)|(784, 256)|3|2|12|0.2532219886779785
(2000, 784)|(784, 256)|3|2|13|0.14457178115844727
(2000, 784)|(784, 256)|3|2|14|0.18508386611938477
(2000, 784)|(784, 256)|3|2|15|0.14829373359680176
(2000, 784)|(784, 256)|3|2|16|0.22842979431152344
(2000, 784)|(784, 256)|4|1|2|0.23409485816955566
(2000, 784)|(784, 256)|4|1|3|0.2997891902923584
(2000, 784)|(784, 256)|4|1|4|0.22123503684997559
(2000, 784)|(784, 256)|4|1|5|0.22161173820495605
(2000, 784)|(784, 256)|4|1|6|0.1660010814666748
(2000, 784)|(784, 256)|4|1|7|0.24344587326049805
(2000, 784)|(784, 256)|4|1|8|0.267319917678833
(2000, 784)|(784, 256)|4|1|9|0.28826904296875
(2000, 784)|(784, 256)|4|1|10|0.21097517013549805
(2000, 784)|(784, 256)|4|1|11|0.19415521621704102
(2000, 784)|(784, 256)|4|1|12|0.23932838439941406
(2000, 784)|(784, 256)|4|1|13|0.21799802780151367
(2000, 784)|(784, 256)|4|1|14|0.11380290985107422
(2000, 784)|(784, 256)|4|1|15|0.23338794708251953
(2000, 784)|(784, 256)|4|1|16|0.20897412300109863
(2000, 784)|(784, 256)|4|2|3|0.29714417457580566
(2000, 784)|(784, 256)|4|2|4|0.29567837715148926
(2000, 784)|(784, 256)|4|2|5|0.21718120574951172
(2000, 784)|(784, 256)|4|2|6|0.25641489028930664
(2000, 784)|(784, 256)|4|2|7|0.2926771640777588
(2000, 784)|(784, 256)|4|2|8|0.26456499099731445
(2000, 784)|(784, 256)|4|2|9|0.19934320449829102
(2000, 784)|(784, 256)|4|2|10|0.25821805000305176
(2000, 784)|(784, 256)|4|2|11|0.2682077884674072
(2000, 784)|(784, 256)|4|2|12|0.29832005500793457
(2000, 784)|(784, 256)|4|2|13|0.14811110496520996
(2000, 784)|(784, 256)|4|2|14|0.2332007884979248
(2000, 784)|(784, 256)|4|2|15|0.18338680267333984
