shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|2|1|2|0.18477106094360352
(500, 784)|(784, 256)|2|1|3|0.1815810203552246
(500, 784)|(784, 256)|2|1|4|0.17837095260620117
(500, 784)|(784, 256)|2|1|5|0.18354105949401855
(500, 784)|(784, 256)|2|1|6|0.20453667640686035
(500, 784)|(784, 256)|2|1|7|0.19325494766235352
(500, 784)|(784, 256)|2|1|8|0.17041492462158203
(500, 784)|(784, 256)|2|1|9|0.1817002296447754
(500, 784)|(784, 256)|2|1|10|0.16951489448547363
(500, 784)|(784, 256)|2|1|11|0.1737349033355713
(500, 784)|(784, 256)|2|1|12|0.20880389213562012
(500, 784)|(784, 256)|2|1|13|0.15932607650756836
(500, 784)|(784, 256)|2|1|14|0.2010819911956787
(500, 784)|(784, 256)|2|1|15|0.18543505668640137
(500, 784)|(784, 256)|2|1|16|0.21455907821655273
(500, 784)|(784, 256)|2|1|17|0.1459519863128662
(500, 784)|(784, 256)|2|1|18|0.1737363338470459
(500, 784)|(784, 256)|2|1|19|0.16407299041748047
(500, 784)|(784, 256)|2|1|20|0.17604470252990723
(500, 784)|(784, 256)|2|1|21|0.17545104026794434
(500, 784)|(784, 256)|2|1|22|0.16803503036499023
(500, 784)|(784, 256)|2|1|23|0.16994500160217285
(500, 784)|(784, 256)|2|1|24|0.1484229564666748
(500, 784)|(784, 256)|2|1|25|0.16405081748962402
(500, 784)|(784, 256)|2|1|26|0.17363691329956055
(500, 784)|(784, 256)|2|1|27|0.16975784301757812
(500, 784)|(784, 256)|2|1|28|0.17207098007202148
(500, 784)|(784, 256)|2|1|29|0.16979193687438965
(500, 784)|(784, 256)|2|1|30|0.16210412979125977
(500, 784)|(784, 256)|2|1|31|0.17368602752685547
(500, 784)|(784, 256)|2|1|32|0.1815800666809082
(500, 784)|(784, 256)|3|1|2|0.18554210662841797
(500, 784)|(784, 256)|3|1|3|0.19520092010498047
(500, 784)|(784, 256)|3|1|4|0.18358612060546875
(500, 784)|(784, 256)|3|1|5|0.17975687980651855
(500, 784)|(784, 256)|3|1|6|0.2049849033355713
(500, 784)|(784, 256)|3|1|7|0.18150997161865234
(500, 784)|(784, 256)|3|1|8|0.19096708297729492
(500, 784)|(784, 256)|3|1|9|0.18156695365905762
(500, 784)|(784, 256)|3|1|10|0.20317888259887695
(500, 784)|(784, 256)|3|1|11|0.2129230499267578
(500, 784)|(784, 256)|3|1|12|0.2015368938446045
(500, 784)|(784, 256)|3|1|13|0.1680457592010498
(500, 784)|(784, 256)|3|1|14|0.2057328224182129
(500, 784)|(784, 256)|3|1|15|0.154313325881958
(500, 784)|(784, 256)|3|1|16|0.17574286460876465
(500, 784)|(784, 256)|3|1|17|0.1308591365814209
(500, 784)|(784, 256)|3|1|18|0.13083291053771973
(500, 784)|(784, 256)|3|1|19|0.16788411140441895
(500, 784)|(784, 256)|3|1|20|0.17387127876281738
(500, 784)|(784, 256)|3|1|21|0.18570804595947266
(500, 784)|(784, 256)|3|1|22|0.18167901039123535
(500, 784)|(784, 256)|3|1|23|0.16785597801208496
(500, 784)|(784, 256)|3|1|24|0.1353299617767334
(500, 784)|(784, 256)|3|1|25|0.18936395645141602
